system:index,date,spei,.geo
2015_01_01,2015-01,-1.4647192318008124,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_02_01,2015-02,-0.8425164302134411,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_01,2015-03,-0.9983131123960102,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_04_01,2015-04,-1.0805952990372751,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_05_01,2015-05,-1.2467294808524185,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_06_01,2015-06,-1.3188401313516902,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_07_01,2015-07,-1.4284835456965848,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_08_01,2015-08,-1.120709431455647,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_09_01,2015-09,-0.5947606289788014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_10_01,2015-10,-0.5707700921308776,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_11_01,2015-11,-0.46255073689060155,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_12_01,2015-12,-0.812953068447648,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_01_01,2016-01,-0.9444054121890877,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_02_01,2016-02,-1.6041292092576098,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_03_01,2016-03,-1.746987266426835,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_04_01,2016-04,-1.5980509660019946,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_05_01,2016-05,-1.2184309212054645,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_06_01,2016-06,-1.1873915244787305,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_07_01,2016-07,-1.1628809703349399,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_08_01,2016-08,-1.481031368022881,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_09_01,2016-09,-1.4115134226824422,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_10_01,2016-10,-1.5769444153987673,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_11_01,2016-11,-1.7335104716609937,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_12_01,2016-12,-1.362259673704439,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_01_01,2017-01,-1.2964095181536037,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_02_01,2017-02,-1.1171999993364405,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_03_01,2017-03,-1.1635557869540691,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_04_01,2017-04,-0.9450151754796587,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_05_01,2017-05,-1.2959112020060521,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_06_01,2017-06,-1.3630314687525573,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_07_01,2017-07,-1.353149240515175,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_08_01,2017-08,-1.4773088245538974,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_09_01,2017-09,-1.729564070701599,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_10_01,2017-10,-1.0846525183232267,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_01,2017-11,-0.7293991907323394,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_12_01,2017-12,-0.8613997296982693,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_01_01,2018-01,-1.0133988810872965,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_02_01,2018-02,-0.653570810157863,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_03_01,2018-03,-0.5237192672796201,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_04_01,2018-04,-0.8447161604445245,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_05_01,2018-05,-0.4411146335700869,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_06_01,2018-06,-0.3868061739423666,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_07_01,2018-07,-0.4252274737995102,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_08_01,2018-08,0.017860141597155273,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_09_01,2018-09,0.2378699667412176,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_10_01,2018-10,0.34341114619681495,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_11_01,2018-11,0.10642016314356724,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_01,2018-12,-0.19141299463547296,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_01,2019-01,0.01925177161851547,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_01,2019-02,-0.23662273349634894,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_01,2019-03,-0.09619514190632365,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_01,2019-04,0.11509556677140201,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_01,2019-05,0.19886531460335344,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_01,2019-06,-0.026986976973300984,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_07_01,2019-07,-0.037288056836203246,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_08_01,2019-08,-0.2166112373500728,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_09_01,2019-09,-0.44220418967881336,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_10_01,2019-10,-0.6393952402501754,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_11_01,2019-11,-0.5956123543189391,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_12_01,2019-12,-0.4208910309123123,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_01,2020-01,-0.7038525128515037,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_01,2020-02,-0.9300476883604684,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_01,2020-03,-0.9248070188942998,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_01,2020-04,-0.7978845642876993,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_01,2020-05,-1.2209409298936915,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_01,2020-06,-1.0109754187194697,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_07_01,2020-07,-0.8819345041879598,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_08_01,2020-08,-1.0421058450306948,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_09_01,2020-09,-0.7443615267520867,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_10_01,2020-10,-1.323779152285668,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_11_01,2020-11,-1.3731511992625733,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_12_01,2020-12,-1.315862430512989,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_01,2021-01,-1.315565967292304,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_01,2021-02,-1.3078663604122391,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_01,2021-03,-1.4563776297288389,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_01,2021-04,-1.579786637471401,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_01,2021-05,-1.473371026559431,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_01,2021-06,-1.5178382263778802,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_07_01,2021-07,-1.5934580703269883,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_08_01,2021-08,-1.6709393882316759,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_09_01,2021-09,-2.0874545294974327,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_10_01,2021-10,-1.9322753944035833,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_11_01,2021-11,-2.0444402273373385,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_12_01,2021-12,-2.2432860873357447,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_01_01,2022-01,-2.2293168528718668,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_02_01,2022-02,-2.1737498090110017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_03_01,2022-03,-2.0479550823088615,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_04_01,2022-04,-2.0536530574608647,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_05_01,2022-05,-2.023488983532824,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_06_01,2022-06,-2.152021488166959,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_07_01,2022-07,-2.1799010137020285,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_08_01,2022-08,-2.226938621191958,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_09_01,2022-09,-2.0906317760700266,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_10_01,2022-10,-2.387666907919072,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_11_01,2022-11,-2.473246558351236,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_12_01,2022-12,-2.630815565502493,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_01_01,2023-01,-2.729917886046507,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_02_01,2023-02,-2.6066368020767916,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_03_01,2023-03,-2.7957999793209165,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_04_01,2023-04,-2.7826918692943257,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_05_01,2023-05,-2.425643577482055,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_06_01,2023-06,-2.1997237091813475,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_07_01,2023-07,-2.1855946787610794,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_08_01,2023-08,-2.079195862565435,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_09_01,2023-09,-2.128183430742582,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_10_01,2023-10,-2.218681062254297,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_11_01,2023-11,-2.2231197527715563,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023_12_01,2023-12,-1.8388866525545695,"{""type"":""MultiPoint"",""coordinates"":[]}"
